ticker,caps_count,lower_count,caps_share,zipf,decided_by,classification
AMAN,0,1,0.0,2.92,wordfreq,normal
AMAT,205,13,0.94,2.38,case_ratio,normal
AMAU,0,0,,0.0,wordfreq,normal
AMAX,0,0,,1.52,wordfreq,normal
AMBA,21,2,0.913,2.11,wordfreq,normal
AMBO,2,0,1.0,2.24,wordfreq,normal
AMBP,0,0,,0.0,wordfreq,normal
AMBQ,0,0,,0.0,wordfreq,normal
AMBR,0,0,,0.0,wordfreq,normal
AMCI,2,0,1.0,0.0,wordfreq,normal
AMCR,4,0,1.0,0.0,wordfreq,normal
AMCX,15,0,1.0,0.0,wordfreq,normal
AMDC,0,0,,0.0,wordfreq,normal
AMDD,0,0,,0.0,wordfreq,normal
AMDG,0,0,,1.04,wordfreq,normal
AMDL,1,0,1.0,0.0,wordfreq,normal
AMDW,0,0,,0.0,wordfreq,normal
AMDY,0,0,,0.0,wordfreq,normal
AMEI,0,0,,1.2,wordfreq,normal
AMEM,0,0,,0.0,wordfreq,normal
AMGN,78,8,0.907,0.0,case_ratio,normal
AMGR,0,0,,0.0,wordfreq,normal
AMHI,0,0,,0.0,wordfreq,normal
AMID,11,386,0.028,3.95,case_ratio,cashtag_only
AMIX,0,0,,0.0,wordfreq,normal
AMJB,0,0,,0.0,wordfreq,normal
AMKL,0,0,,0.0,wordfreq,normal
AMKR,3,1,0.75,0.0,wordfreq,normal
AMLP,8,0,1.0,0.0,wordfreq,normal
AMLX,0,0,,0.0,wordfreq,normal
AMOD,0,0,,1.35,wordfreq,normal
AMODW,0,0,,0.0,wordfreq,normal
AMOM,12,1,0.923,0.0,wordfreq,normal
AMPG,3,0,1.0,0.0,wordfreq,normal
AMPGR,0,0,,0.0,wordfreq,normal
AMPGZ,0,0,,0.0,wordfreq,normal
AMPH,2,1,0.667,1.27,wordfreq,normal
AMPL,9,0,1.0,1.36,wordfreq,normal
AMPU,0,0,,0.0,wordfreq,normal
AMPX,1,0,1.0,0.0,wordfreq,normal
AMPY,0,0,,0.0,wordfreq,normal
AMRC,2,0,1.0,1.38,wordfreq,normal
AMRN,163,11,0.937,0.0,case_ratio,normal
AMRX,6,0,1.0,0.0,wordfreq,normal
AMRZ,0,0,,0.0,wordfreq,normal
AMSC,6,0,1.0,1.25,wordfreq,normal
AMSF,2,0,1.0,0.0,wordfreq,normal
AMSS,0,0,,0.0,wordfreq,normal
AMST,2,0,1.0,1.07,wordfreq,normal
AMTB,0,0,,0.0,wordfreq,normal
AMTD,39,6,0.867,0.0,case_ratio,normal
AMTM,0,0,,0.0,wordfreq,normal
AMTX,10,1,0.909,0.0,wordfreq,normal
AMUB,0,0,,0.0,wordfreq,normal
AMUN,0,3,0.0,2.23,wordfreq,normal
AMUU,0,0,,0.0,wordfreq,normal
AMWL,19,0,1.0,0.0,wordfreq,normal
AMYY,0,0,,0.0,wordfreq,normal
AMZA,3,1,0.75,0.0,wordfreq,normal
AMZD,0,0,,0.0,wordfreq,normal
AMZE,0,0,,0.0,wordfreq,normal
AMZN,11103,1785,0.861,2.22,case_ratio,normal
AMZO,0,0,,0.0,wordfreq,normal
AMZP,0,0,,0.0,wordfreq,normal
AMZU,0,0,,0.0,wordfreq,normal
AMZW,0,0,,0.0,wordfreq,normal
AMZY,0,0,,0.0,wordfreq,normal
